object_id	latitude	longitude	name_ru	name_en	category	wiki_ru	wiki_en	address	image_url
1725	55.73766000836048	37.57892999685319	Памятник Михаилу Фрунзе	Monument to Mikhail Frunze	monument	https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D1%83%D0%BD%D0%B7%D0%B5,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87	https://en.wikipedia.org/wiki/Mikhail_Frunze	Г-810, проезд Девичьего Поля, дом 4	https://upload.wikimedia.org/wikipedia/ru/thumb/2/22/Karbyshev_monument.jpg/400px-Karbyshev_monument.jpg
1726	55.75378000000006	37.62039000000004	Памятник Михаилу Фрунзе	Monument to Mikhail Frunze	monument	https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D1%83%D0%BD%D0%B7%D0%B5,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87	https://en.wikipedia.org/wiki/Mikhail_Frunze	У Кремлёвской стены	https://mos80.com/images/img982.jpg
1727	55.75082998990587	37.605010037126476	Памятник Михаилу Фрунзе	Monument to Mikhail Frunze	monument	https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D1%83%D0%BD%D0%B7%D0%B5,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87	https://en.wikipedia.org/wiki/Mikhail_Frunze	Улица Знаменка, дом 12/2	https://content.foto.my.mail.ru/mail/karpenko_10n/362/h-41042.jpg
1728	55.780979326255505	37.61586397566153	Памятник Михаилу Фрунзе	Monument to Mikhail Frunze	monument	https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D1%83%D0%BD%D0%B7%D0%B5,_%D0%9C%D0%B8%D1%85%D0%B0%D0%B8%D0%BB_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87	https://en.wikipedia.org/wiki/Mikhail_Frunze	Суворовская площадь	https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Culture_Centre_of_the_Russian_Armed_Forces_in_MSK.jpg/1200px-Culture_Centre_of_the_Russian_Armed_Forces_in_MSK.jpg
1729	55.70337001965538	37.565879960342244	Памятник Николаю Швернику	Monument to Nikolay Sweshnik	monument	https://ru.wikipedia.org/wiki/%D0%A8%D0%B2%D0%B5%D1%80%D0%BD%D0%B8%D0%BA,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87	https://en.wikipedia.org/wiki/Nikolai_Shvernik	Ленинский проспект, дом 42	http://dslov.ru/img/mos/6034s.jpg
1730	55.69935725127931	37.526210806176984	Памятник Ивану Шувалову	Monument to Ivan Shuvalov	monument	https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%D0%98%D0%B2%D0%B0%D0%BD%D1%83_%D0%A8%D1%83%D0%B2%D0%B0%D0%BB%D0%BE%D0%B2%D1%83_(%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0)		Ломоносовский проспект	https://upload.wikimedia.org/wikipedia/ru/thumb/3/30/%D0%9F%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%D0%98%D0%B2%D0%B0%D0%BD%D1%83_%D0%A8%D1%83%D0%B2%D0%B0%D0%BB%D0%BE%D0%B2%D1%83_%28%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C_2013%29.jpg/1200px-%D0%9F%D0%B0%D0%BC%D1%8F%D1%82%D0%BD%D0%B8%D0%BA_%D0%98%D0%B2%D0%B0%D0%BD%D1%83_%D0%A8%D1%83%D0%B2%D0%B0%D0%BB%D0%BE%D0%B2%D1%83_%28%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0%2C_2013%29.jpg
1731	55.75897125280007	37.55676870093009	Памятник Николаю Шмиту	Monument Nikolay Schmitu.	monument	https://ru.wikipedia.org/wiki/%D0%A8%D0%BC%D0%B8%D1%82,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87	https://en.wikipedia.org/wiki/Nikolai_Pavlovich_Schmidt	Шмитовский проезд, дом 2	http://openmoscow.ru/krasnaya-presnya/presnya-31.jpg
1732	55.78516273382184	37.68564636949672	Памятник Николаю Гастелло	Monument Nikolay Gastello	monument	https://ru.wikipedia.org/wiki/%D0%93%D0%B0%D1%81%D1%82%D0%B5%D0%BB%D0%BB%D0%BE,_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9_%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B5%D0%B2%D0%B8%D1%87	https://en.wikipedia.org/wiki/Nikolai_Gastello	Улица Гастелло	https://yamoscow.ru/wp-content/uploads/2020/06/pamyatnik-lyotchiku-a.-f.-avdeevu-1024x680.jpg
1733	55.740589986434486	37.52883999493386	Памятник Валентине Гризодубовой	Monument Valentina Grisodubova	monument	https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D0%B7%D0%BE%D0%B4%D1%83%D0%B1%D0%BE%D0%B2%D0%B0,_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D0%B0_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0	https://en.wikipedia.org/wiki/Valentina_Grizodubova	Кутузовский проспект, дом 34	https://memory-map.1sept.ru/memorials/00/02/34/4/7539.jpeg
2497	55.752220002818945	37.61149997711718	IL LETTERATO / Иль Леттерато	IL LETTERATO / Il' Letterato	restaurant			ул. Воздвиженка, д. 1	https://www.restoran.ru/upload/resize_cache/iblock/2ea/350_290_2/dsc955194f.jpg
1734	55.788380000000075	37.749970000000076	Памятник Зое Космодемьянской	Monument to Zoe Kosmodemyanskaya	monument	https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D0%BC%D0%BE%D0%B4%D0%B5%D0%BC%D1%8C%D1%8F%D0%BD%D1%81%D0%BA%D0%B0%D1%8F,_%D0%97%D0%BE%D1%8F_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0	https://en.wikipedia.org/wiki/Zoya_Kosmodemyanskaya	Станция метро «Партизанская»	https://img1.liveinternet.ru/images/attach/c/3/78/69/78069715_large_Kosmodemyanskaya_Z_A_Pamyatnik_v_Petrischevo.jpg
